symbol,globalScore
SPTLC2,0.37642395557408
B4GALT1,0.3761302982952405
ACSL4,0.3760934087832802
NGLY1,0.3760521487473967
PPP3CC,0.3743120558690417
PECAM1,0.3737079315425288
FOXK1,0.3735578612417752
LMNB1,0.3734388983292287
MELK,0.3731155122911659
PTPRO,0.3730433881061069
RAD51C,0.3729372959513634
NFKB2,0.3729301522311896
FASTK,0.3729016225697163
CAPNS1,0.3728330645644856
NDUFB6,0.3728326796236908
HINFP,0.3727161441788117
MMP13,0.3726687441877491
GOLGA2,0.3726445709526627
ATF5,0.3726442876464624
MMP7,0.3722090078630792
VEZF1,0.3721669136674946
CDC25C,0.3720002916069885
ZNF827,0.3718194048251855
ABCC9,0.3716659229282266
PFKL,0.3716343593630011
RIN3,0.371527069414971
CAPNS2,0.3714277539581253
KAT7,0.3712573509717376
BRD8,0.3710735732640524
PRKAB1,0.3710690755824872
CDC5L,0.3708374528013372
CTSH,0.3705977918973999
SLC36A1,0.3702266194304
SLC7A14,0.3700447002351396
DLX2,0.3699494345393864
NDUFB10,0.3699494345393864
CYB5R4,0.3696033747544286
GTF2I,0.3695798546847018
ZC3H8,0.3695798546847018
PSKH1,0.3695798546847018
VARS2,0.3695798546847018
CXXC1,0.3695798546847018
NVL,0.3695798546847018
CDYL,0.3695798546847018
TIMM44,0.3695798546847018
MAP2K4,0.3693919607558185
PTPRJ,0.369341395507392
MLPH,0.369233794899744
PPP2R1A,0.3691090733936485
SLC39A10,0.3690531928092463
PTPRS,0.3686359059023414
MAPT,0.3682509391404079
GNPAT,0.3680043404928123
MAP2K7,0.3679099144313628
PICK1,0.3679023221387813
LILRA5,0.3677376416734024
ESR1,0.3676679269493006
ADRB3,0.3676589212081444
LRRC25,0.3662152921883535
MPRIP,0.3660650889854486
MTFR1,0.3660499962091249
CTDSP1,0.3656350097459279
CCDC88A,0.3648508704560153
MRPL35,0.3633252739296935
S100A4,0.3631888940150644
ILF3,0.3630886529060564
ATOH8,0.3627050559718277
APOB,0.3623650699748091
MS4A6E,0.3623354190758103
USP6NL,0.3623240346336374
COX7B,0.3618762352287269
ABHD6,0.3616370508185793
PDGFRB,0.3609462691243731
DNPEP,0.3602282692413797
LRRK2,0.3596948521348461
GLP1R,0.35968938645708
PNO1,0.3596343700360911
AP3M1,0.3594095659601249
PHKG2,0.3594094408538857
TSPOAP1,0.3591789770534256
FBXL22,0.3589568461539808
PPP1CB,0.3587941134874355
FGFR3,0.3587573017914237
PPM1D,0.3577391121680398
PRDM7,0.3576367861416106
PRDM9,0.3573755765164695
APOC1,0.3565121189788598
TOMM40,0.3562702855098226
CDK2,0.3561315566014753
TRAPPC11,0.3558960059418849
CGA,0.3558553741185899
TRRAP,0.3553036741543036
IL6R,0.3548961753059121
ATP5F1C,0.3548917740645047
ARPC5L,0.3542942176554161
PIK3R2,0.3537397425855842
BACE1,0.3536779086299091
GNG4,0.353653976663281
ARNT,0.3536173540683
CACNA1A,0.3535800276884404
ZFHX3,0.3533376581619554
FAHD2A,0.3532027959516248
MMP3,0.3531223299900472
USP3,0.352739503240613
SDK1,0.3523269957431277
TBX5,0.3520743179548194
RABEP1,0.3517939989592277
WIPF2,0.3516340309260151
XPO7,0.3509544943990913
SDCCAG8,0.3509162186900488
RAB9A,0.3507298818928321
MGAT1,0.3501686449018109
CSF1R,0.3497622490200385
TRMT10C,0.3497310473358956
SPEN,0.3495876518724842
DDAH1,0.3495468182550756
EPB41L1,0.3494761325496983
SHMT1,0.3494039797522333
CAMK1G,0.3489596391372049
IGFBP3,0.3488939646047204
ACP5,0.3484203120971478
ARPC4,0.3482020615899742
ZNF568,0.3479517922309904
ZNF462,0.3478689295539769
CLINT1,0.3475961877348539
GDI1,0.347206281070214
CYSLTR1,0.3469607916050339
PTH,0.3463095452476828
HIC1,0.3461373311272977
EXOC2,0.3457705824785479
SCIMP,0.345610296771423
COMP,0.3455310913417511
NDUFS4,0.3455106735302038
FAM20B,0.3450893390042495
GRIK5,0.3448208192117117
SPPL2A,0.3446472919894155
NFIB,0.3444102444590619
DOCK3,0.3439066345804821
KRT86,0.3438370700217122
IPO13,0.3436079785515809
S100A13,0.3434498937928436
FADS1,0.3431313549099002
MVP,0.3430168282568056
KIT,0.3430013368963279
LAMTOR1,0.3427122666203425
CAV1,0.3422867805174561
COX7A1,0.3414876214803872
MAP4K2,0.3412192820862916
PPP1R12A,0.3411860634463577
ACY3,0.3404797548023816
ADORA2B,0.3402508435962068
PTPRN2,0.3401738672774027
NUAK2,0.3401101749476969
HCN2,0.3400468562715583
LCMT1,0.3398218815706755
ARMH3,0.3396178340213364
EVX2,0.3395075925815459
KMT2B,0.3387230998098647
IRF4,0.3386867479068898
PAPSS1,0.3386840366563467
