symbol,globalScore
DHX15,0.4599420085926023
ACACA,0.4599210936327794
CD38,0.4597235968017352
WDHD1,0.459432246174733
NOC4L,0.459432246174733
PPT1,0.459081390355247
B4GALT2,0.4579725558921829
PIK3R1,0.4567024622475025
ELMO2,0.4560426660377425
NDUFB4,0.4554529295081336
SCARB1,0.455167976369455
TGFBR1,0.4550552573982996
RSL24D1,0.454607398421626
AP3B1,0.4542557927947412
SIPA1L2,0.4540446115946813
PTPN12,0.4522385498948806
LAMTOR3,0.4519930228986886
BLOC1S5,0.4518535237392906
DIMT1,0.4512991539572636
SBF1,0.4503644200719753
ATP1A1,0.4475878093195767
SMG8,0.4471290290115444
NRIP1,0.4458084643969147
IPO7,0.4454416451870511
WRAP53,0.4435007709385928
SNRPD2,0.4430524245788544
PTDSS1,0.4427760308194192
TAOK1,0.4423473391600703
NUCKS1,0.4411977279270324
SLC2A13,0.4409735725011187
CLK2,0.440756308385667
RIPK1,0.4396749841216527
LRP1,0.4392810281907091
ACMSD,0.4373033932435463
FLG,0.4369576339733563
SLC18A2,0.4359168055433061
MTMR9,0.4353865228255946
PALB2,0.4350562889264989
SQLE,0.434751998869938
TRAPPC5,0.4347519295921756
HRNR,0.4345095415270451
SKP2,0.4343138362262906
GGPS1,0.4327219109093165
RAB29,0.4323423018093607
PANK1,0.4294777597357623
SLC45A3,0.4285102400009676
BTF3,0.4275241304910109
NISCH,0.4270495323201476
MTMR12,0.4253095050669199
PAPOLA,0.4249120196854923
TMEM163,0.4246137253922762
NUP160,0.4240722009777968
TFCP2L1,0.4236649230410255
SNRK,0.423498337503696
SEC23IP,0.423086852458037
RANBP3,0.4228535747850995
BAG3,0.4220317141223513
CALR,0.4213205168464862
SCN8A,0.4206575639610262
TTN,0.4199142719960086
EEF2,0.4178866668346033
AP3D1,0.4174836052904492
TBC1D24,0.4165164962296588
SCN1A,0.4158905568315796
PIP5K1A,0.4138555974623084
APOE,0.4110415712459211
VPS28,0.4104108985748503
CLK3,0.4099922474365077
MMP25,0.4082922528657468
RXRG,0.407334876019212
GIGYF2,0.406889822716668
NDUFAF2,0.4051517517986362
ING3,0.4022551619305217
ADRB1,0.4012974088400587
SCN3A,0.4011021490715557
SCN2A,0.4008886255400066
HTR1A,0.4004372158861414
SCN5A,0.4004295064437997
RAB39B,0.3994721928848444
SCN9A,0.3992745693979101
SCN7A,0.398951187025061
SCN11A,0.3985816071703763
SCN4A,0.3985816071703763
SCN10A,0.3985816071703763
MT-ND5,0.3983989900066474
EPM2A,0.3983460633693398
QPCT,0.3983405812929129
MTMR10,0.3971395895228205
GABRB1,0.3962563339179851
DLD,0.3922481422162505
UQCRB,0.3911596207861125
KAT5,0.3909103789077506
KLHL7,0.3904157705884272
PTPRO,0.3890751920193198
NDUFB6,0.3886522586966137
SLC6A4,0.3885659711779546
NDUFB10,0.3882641695604283
RAP2B,0.3879187975720654
CREB3L3,0.3874046693780252
COG8,0.3873044681666114
NOC3L,0.3856338193083906
CTSL,0.3848656329704389
TSPO,0.3833592195965036
ULK1,0.3797930263988819
COMMD1,0.3796392112735411
TNK2,0.3794112788587035
RELA,0.37909940567177
CREB1,0.3787954241171779
ACSL4,0.3787018944639692
PTPRA,0.3773570980906522
ZNF629,0.3760129735105671
ZKSCAN1,0.3758793642754562
SREBF1,0.3758385829859492
EMC4,0.375482620844512
TTK,0.3751572347557488
BRD2,0.3747733410813122
CDK5,0.3743899775168918
IDUA,0.3740698613884422
ADRB3,0.3736216919366207
HRH1,0.3732756532315488
FOXK1,0.3732565108717259
FASTK,0.3729016225697163
HINFP,0.3723818284019282
NFKB2,0.3719923898472269
CCDC62,0.3712784075704815
GCH1,0.3711086967282326
CYB5R4,0.3710816941731675
FOSL1,0.3709657791397694
MAP4K4,0.3707721064572498
COX7C,0.3707039934093677
CDC5L,0.3705961992850847
SLC36A1,0.3705961992850847
ABCC9,0.3705038043214135
SPTLC2,0.3705038043214135
TIMM44,0.3705038043214135
PPP3CC,0.3701541588915291
ATF5,0.3699494345393864
PFKL,0.3699494345393864
DLX2,0.3695798546847018
VEZF1,0.3695798546847018
ZNF827,0.3695798546847018
CXXC1,0.3695798546847018
RAD51C,0.3695798546847018
ZC3H8,0.3695798546847018
BRD8,0.3695798546847018
GTF2I,0.3695798546847018
B4GALT1,0.3695798546847018
NVL,0.3695798546847018
VARS2,0.3695798546847018
PSKH1,0.3695798546847018
JAZF1,0.3695798546847018
CDYL,0.3695798546847018
SLC35C1,0.369233794899744
MLPH,0.369233794899744
NGLY1,0.369233794899744
SPI1,0.3691988320505001
GRIA2,0.3691509675795972
GRIA4,0.3681072301888253
MAP2K4,0.3678243912814763
PTPRJ,0.3672594985205035
MTFR1,0.3660499962091249
SLC39A10,0.3660153284775491
CD33,0.365665827383729
MAP2K7,0.3655657909604223
PDGFRA,0.3654963513485996
PPP2R1A,0.3652903688921581
GOT1,0.3648155841441264
PEX13,0.364483005236783
MT-ND6,0.3642176146136179
CTSH,0.3641997443958434
GRIA1,0.364121942602612
ATOH8,0.3636290056085394
MRPL35,0.3633252739296935
CTDSP1,0.3633251356541485
ILF3,0.3629962579423853
MMRN1,0.3619779253485991
COX7B,0.3616292326925127
FCGR2A,0.3603872199695492
PHKG2,0.3603333904905975
DNPEP,0.3602282692413797
PRKAB1,0.3600193782829849
TOX3,0.3594472757330067
AP3M1,0.3594095659601249
DNAJB6,0.3592482763916109
GNPAT,0.3591863932957481
PDE7B,0.3591230052498099
GALC,0.3588005747934015
PPP1CB,0.3585625446231795
ADORA2B,0.3579510266341933
GRIA3,0.3579440408376729
ABHD6,0.3574586939086919
CCDC88A,0.3574586939086919
KANSL1,0.3566797860980776
